#Release 14.2 - par P.28xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 15 16:52:36 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc3s700a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R12,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
R13,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
R14,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
R15,,DIFFMI_NDT,IP_L04P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFSI_NDT,IP_L04N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,,DIFFMI_NDT,IP_L12P_1,UNUSED,,1,,,,,,,,,
R18,,DIFFSI_NDT,IP_L12N_1/VREF_1,UNUSED,,1,,,,,,,,,
R19,,DIFFMLR,IO_L17P_1/A2,UNUSED,,1,,,,,,,,,
R20,,DIFFMLR,IO_L13P_1,UNUSED,,1,,,,,,,,,
R21,,DIFFMLR,IO_L14P_1,UNUSED,,1,,,,,,,,,
R22,,DIFFSLR,IO_L14N_1,UNUSED,,1,,,,,,,,,
T1,,DIFFMLR,IO_L36P_3/VREF_3,UNUSED,,3,,,,,,,,,
T2,,,GND,,,,,,,,,,,,
T3,,DIFFSLR,IO_L36N_3,UNUSED,,3,,,,,,,,,
T4,,DIFFSLR,IO_L34N_3,UNUSED,,3,,,,,,,,,
T5,,DIFFMLR,IO_L40P_3,UNUSED,,3,,,,,,,,,
T6,,DIFFSI_NDT,IP_L46N_3/VREF_3,UNUSED,,3,,,,,,,,,
T7,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T8,,,NC,,,,,,,,,,,,
T9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T10,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T11,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T12,,,GND,,,,,,,,,,,,
T13,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T14,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T15,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T16,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T17,,DIFFMLR,IO_L03P_1/A0,UNUSED,,1,,,,,,,,,
T18,,DIFFSLR,IO_L03N_1/A1,UNUSED,,1,,,,,,,,,
T19,,DIFFSLR,IO_L13N_1,UNUSED,,1,,,,,,,,,
T20,,DIFFMLR,IO_L11P_1,UNUSED,,1,,,,,,,,,
T21,,,GND,,,,,,,,,,,,
T22,,DIFFSLR,IO_L11N_1,UNUSED,,1,,,,,,,,,
U1,,DIFFMLR,IO_L37P_3,UNUSED,,3,,,,,,,,,
U2,,DIFFSLR,IO_L37N_3,UNUSED,,3,,,,,,,,,
U3,,DIFFMLR,IO_L41P_3,UNUSED,,3,,,,,,,,,
U4,,DIFFSLR,IO_L41N_3,UNUSED,,3,,,,,,,,,
U5,,DIFFSLR,IO_L40N_3,UNUSED,,3,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
U7,,,NC,,,,,,,,,,,,
U8,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
U9,,,VCCO_2,,,2,,,,,any******,,,,
U10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
U11,,DIFFMTB,IO_L17P_2/GCLK12,UNUSED,,2,,,,,,,,,
U12,,DIFFSTB,IO_L20N_2/GCLK3,UNUSED,,2,,,,,,,,,
U13,,DIFFSTB,IO_L26N_2/D3,UNUSED,,2,,,,,,,,,
U14,,,VCCO_2,,,2,,,,,any******,,,,
U15,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
U16,,,NC,,,,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,,,SUSPEND,,,,,,,,,,,,
U19,,DIFFSLR,IO_L10N_1,UNUSED,,1,,,,,,,,,
U20,,DIFFMLR,IO_L10P_1,UNUSED,,1,,,,,,,,,
U21,,DIFFSLR,IO_L09N_1,UNUSED,,1,,,,,,,,,
U22,,DIFFMLR,IO_L09P_1,UNUSED,,1,,,,,,,,,
V1,,DIFFMLR,IO_L38P_3,UNUSED,,3,,,,,,,,,
V2,,,VCCO_3,,,3,,,,,any******,,,,
V3,,DIFFSLR,IO_L38N_3,UNUSED,,3,,,,,,,,,
V4,,DIFFMLR,IO_L43P_3,UNUSED,,3,,,,,,,,,
V5,,,VCCAUX,,,,,,,,2.5,,,,
V6,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
V7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
V8,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,,DIFFMTB,IO_L09P_2/RDWR_B,UNUSED,,2,,,,,,,,,
V10,,DIFFMTB,IO_L13P_2,UNUSED,,2,,,,,,,,,
V11,,DIFFSTB,IO_L17N_2/GCLK13,UNUSED,,2,,,,,,,,,
V12,,DIFFMTB,IO_L20P_2/GCLK2,UNUSED,,2,,,,,,,,,
V13,,DIFFMTB,IO_L26P_2/INIT_B,UNUSED,,2,,,,,,,,,
V14,,DIFFMTB,IO_L30P_2,UNUSED,,2,,,,,,,,,
V15,,DIFFSTB,IO_L30N_2,UNUSED,,2,,,,,,,,,
V16,,DIFFSTB,IO_L31N_2,UNUSED,,2,,,,,,,,,
V17,,DIFFSTB,IO_L33N_2,UNUSED,,2,,,,,,,,,
V18,,,VCCAUX,,,,,,,,2.5,,,,
V19,,DIFFMLR,IO_L06P_1,UNUSED,,1,,,,,,,,,
V20,,DIFFSLR,IO_L06N_1,UNUSED,,1,,,,,,,,,
V21,,,VCCO_1,,,1,,,,,2.50,,,,
V22,,DIFFSLR,IO_L07N_1,UNUSED,,1,,,,,,,,,
W1,,DIFFMLR,IO_L42P_3,UNUSED,,3,,,,,,,,,
W2,,DIFFSLR,IO_L42N_3,UNUSED,,3,,,,,,,,,
W3,,DIFFSLR,IO_L43N_3,UNUSED,,3,,,,,,,,,
W4,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
W5,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
W6,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,
W7,,DIFFMTB,IO_L07P_2,UNUSED,,2,,,,,,,,,
W8,,DIFFMTB,IO_L11P_2/VS1,UNUSED,,2,,,,,,,,,
W9,,DIFFSTB,IO_L09N_2/VS2,UNUSED,,2,,,,,,,,,
W10,,,GND,,,,,,,,,,,,
W11,,,VCCAUX,,,,,,,,2.5,,,,
W12,,DIFFMTB,IO_L18P_2/GCLK14,UNUSED,,2,,,,,,,,,
W13,,DIFFMTB,IO_L23P_2,UNUSED,,2,,,,,,,,,
W14,,,GND,,,,,,,,,,,,
W15,,DIFFMTB,IO_L25P_2,UNUSED,,2,,,,,,,,,
W16,,DIFFMTB,IO_L31P_2,UNUSED,,2,,,,,,,,,
W17,,DIFFSTB,IO_L34N_2,UNUSED,,2,,,,,,,,,
W18,,DIFFMTB,IO_L33P_2,UNUSED,,2,,,,,,,,,
W19,,DIFFMLR,IO_L02P_1/LDC1,UNUSED,,1,,,,,,,,,
W20,,DIFFSLR,IO_L02N_1/LDC0,UNUSED,,1,,,,,,,,,
W21,,DIFFSLR,IO_L05N_1,UNUSED,,1,,,,,,,,,
W22,,DIFFMLR,IO_L07P_1,UNUSED,,1,,,,,,,,,
Y1,,DIFFMLR,IO_L44P_3,UNUSED,,3,,,,,,,,,
Y2,,DIFFSLR,IO_L44N_3,UNUSED,,3,,,,,,,,,
Y3,,,GND,,,,,,,,,,,,
Y4,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
Y5,,DIFFSTB,IO_L05N_2,UNUSED,,2,,,,,,,,,
Y6,,DIFFSTB,IO_L07N_2,UNUSED,,2,,,,,,,,,
Y7,,DIFFMTB,IO_L10P_2,UNUSED,,2,,,,,,,,,
Y8,,DIFFSTB,IO_L11N_2/VS0,UNUSED,,2,,,,,,,,,
Y9,,DIFFMTB,IO_L14P_2/D7,UNUSED,,2,,,,,,,,,
Y10,,DIFFSTB,IO_L13N_2,UNUSED,,2,,,,,,,,,
Y11,,DIFFMTB,IO_L16P_2/D5,UNUSED,,2,,,,,,,,,
Y12,clk,IBUF,IO_L18N_2/GCLK15,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y13,,DIFFSTB,IO_L21N_2,UNUSED,,2,,,,,,,,,
Y14,,DIFFSTB,IO_L23N_2,UNUSED,,2,,,,,,,,,
Y15,,DIFFSTB,IO_L25N_2,UNUSED,,2,,,,,,,,,
Y16,,DIFFSTB,IO_L27N_2,UNUSED,,2,,,,,,,,,
Y17,,DIFFSTB,IO_L28N_2/D1,UNUSED,,2,,,,,,,,,
Y18,,DIFFMTB,IO_L34P_2,UNUSED,,2,,,,,,,,,
Y19,,,DONE,,,,,,,,,,,,
Y20,,,GND,,,,,,,,,,,,
Y21,,DIFFSLR,IO_L01N_1/LDC2,UNUSED,,1,,,,,,,,,
Y22,,DIFFMLR,IO_L05P_1,UNUSED,,1,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
